city,male,female
Santa Bárbara (BA),9297,9753
Pindoretama (CE),9339,9339
Butiá (RS),10031,10371
Cruzeiro do Oeste (PR),9985,10426
Bastos (SP),10031,10412
Valença do Piauí (PI),9577,10746
Silvânia (GO),9807,9279
Araçoiaba (PE),9025,9127
Serro (MG),10374,10458
Santo Antônio do Içá (AM),12590,11888
Bombinhas (SC),7194,7097
Abadiânia (GO),8089,7667
Atalaia do Norte (AM),7852,7301
Wenceslau Guimarães (BA),11471,10710
Santo Anastácio (SP),9982,10493
Nova Olímpia (MT),9055,8457
Ubiratã (PR),10503,11050
Governador Mangabeira (BA),9495,10315
Cocalzinho de Goiás (GO),8952,8455
Envira (AM),8390,7944
Riacho das Almas (PE),9415,9741
Piratini (RS),10108,9730
Floresta do Araguaia (PA),9551,8215
São João Batista (MA),10127,9785
Belém do São Francisco (PE),9960,10290
São João do Piauí (PI),9583,9963
Cotriguaçu (MT),7977,7005
Medina (MG),10476,10545
Vazante (MG),9928,9793
Tibagi (PR),9804,9539
Jaboticatubas (MG),8705,8425
Maraú (BA),10072,9024
Itapiúna (CE),9459,9162
Cachoeirinha (PE),9104,9711
Araruna (PB),9324,9551
Abaré (BA),8564,8498
Caraúbas (RN),9565,10003
Paranapanema (SP),9062,8745
Paulistana (PI),9566,10218
Brasnorte (MT),8285,7072
Guaratinga (BA),11614,10544
Jaguaruna (SC),8625,8665
Monte Azul (MG),10837,11151
Regente Feijó (SP),9188,9305
Muzambinho (MG),10266,10164
Nova Brasilândia d'Oeste (RO),10344,9529
Beruri (AM),8145,7338
Ibirubá (RS),9471,9838
Baixa Grande (BA),9966,10088
Coronel Vivida (PR),10619,11127
Aragarças (GO),9185,9119
São José de Piranhas (PB),9529,9565
Novo Airão (AM),7605,7115
Itororó (BA),9990,9918
Cerqueira César (SP),8673,8859
Tanhaçu (BA),10070,9936
Cândido Mendes (MA),9690,8814
Santo Antônio do Sudoeste (PR),9264,9625
Jijoca de Jericoacoara (CE),8520,8482
Padre Paraíso (MG),9333,9511
Cuité (PB),9832,10140
Uruçuca (BA),9854,9976
Itajuípe (BA),10450,10626
Riachão (MA),10390,9816
Chorozinho (CE),9600,9313
Turmalina (MG),9168,8883
Água Branca (AL),9654,9722
Porto Real (RJ),8242,8350
Magalhães de Almeida (MA),8978,8606
Barra da Estiva (BA),10647,10537
Icapuí (CE),9413,8976
Cantagalo (RJ),9831,9999
Taquarana (AL),9236,9778
Porto Real do Colégio (AL),9590,9739
Sonora (MS),7835,6997
Plácido de Castro (AC),8999,8210
Ipanema (MG),8806,9360
Hidrolândia (CE),9625,9699
Campos Belos (GO),9125,9284
Pacaraima (RR),5407,5024
Alpinópolis (MG),9492,8993
Salgado (SE),9657,9705
Buri (SP),9501,9061
Capoeiras (PE),9770,9820
Pindobaçu (BA),10325,9788
Boa Vista do Ramos (AM),7945,7033
Madalena (CE),9081,9003
Rio Verde de Mato Grosso (MS),9485,9403
Divino (MG),9679,9449
Rubiataba (GO),9429,9483
Santa Vitória (MG),9407,8727
Ibicoara (BA),8753,8523
Afrânio (PE),8748,8830
Umirim (CE),9640,9161
Remígio (PB),8378,9196
Maracás (BA),12203,12403
Itarantim (BA),9518,9012
Major Izidoro (AL),9268,9627
Lajinha (MG),9826,9780
Xapuri (AC),8317,7773
Alhandra (PB),8863,9141
Ubaíra (BA),10025,9706
Palmeirândia (MA),9386,9370
Santa Luzia do Pará (PA),9884,9540
Simonésia (MG),9466,8831
Buriti dos Lopes (PI),9622,9450
Andirá (PR),10040,10568
Riachão do Dantas (SE),9734,9647
Borda da Mata (MG),8671,8447
Pariquera-Açu (SP),9137,9305
Rodrigues Alves (AC),7478,6910
Campina Verde (MG),9803,9520
Carmópolis de Minas (MG),8761,8287
Marechal Thaumaturgo (AC),7462,6764
Castelo do Piauí (PI),8980,9351
Alto Araguaia (MT),8011,7632
Morros (MA),9152,8628
Pastos Bons (MA),9179,8885
Presidente Olegário (MG),9533,9044
Carnaíba (PE),9166,9406
Antas (BA),8576,8491
Mâncio Lima (AC),7836,7369
Pauini (AM),9490,8675
Olho d'Água das Cunhãs (MA),9185,9411
Umburanas (BA),8776,8220
Tejuçuoca (CE),8606,8218
Cajari (MA),9508,8828
Papanduva (SC),9172,8756
Miracatu (SP),10412,10179
Pitimbu (PB),8608,8413
Ampére (PR),8586,8721
Três Barras (SC),9055,9070
Pirapora do Bom Jesus (SP),7817,7914
Horizontina (RS),8946,9400
Sengés (PR),9463,8951
Formosa da Serra Negra (MA),9323,8433
Rio Bananal (ES),9079,8450
Quitandinha (PR),8836,8251
Wenceslau Braz (PR),9511,9784
Trairão (PA),9146,7728
Farias Brito (CE),9328,9675
Utinga (BA),8936,9234
Caiapônia (GO),8542,8209
Varzelândia (MG),9763,9351
Águas Formosas (MG),9318,9158
Iati (PE),9179,9178
Cantá (RR),7538,6363
Costa Marques (RO),7201,6476
Passagem Franca (MA),8691,8868
Baependi (MG),9175,9129
Dormentes (PE),8657,8260
Guareí (SP),8927,5638
Ibirama (SC),8666,8664
Jaicós (PI),8799,9232
Itanhém (BA),10293,9918
Serrita (PE),9198,9128
Presidente Sarney (MA),8893,8269
Otacílio Costa (SC),8259,8073
Capanema (PR),9159,9363
Jaguaripe (BA),8449,8016
Carmo (RJ),8598,8832
Júlio de Castilhos (RS),9625,9952
Fátima do Sul (MS),9361,9672
Porto Acre (AC),7845,7035
Viradouro (SP),8714,8583
Matipó (MG),8727,8911
Ituaçu (BA),9031,9087
São Raimundo das Mangabeiras (MA),8883,8590
Chopinzinho (PR),9773,9904
Contenda (PR),8095,7795
Aroeiras (PB),9219,9858
Porciúncula (RJ),8874,8886
Japaratuba (SE),8389,8474
Terra Santa (PA),8776,8173
Macarani (BA),8578,8501
Tonantins (AM),8777,8301
Camocim de São Félix (PE),8320,8779
Caconde (SP),9285,9253
Conceição (PB),9116,9239
Barão de Grajaú (MA),8936,8904
Ervália (MG),8990,8955
Guaranésia (MG),9497,9216
Cabaceiras do Paraguaçu (BA),8548,8774
Epitaciolândia (AC),7626,7472
Itapororoca (PB),8558,8434
Montanha (ES),8972,8863
Monte Azul Paulista (SP),9491,9440
Ipaba (MG),8411,8295
Antonina (PR),9349,9541
Águas de Lindóia (SP),8457,8808
Alumínio (SP),8500,8339
Ribeirópolis (SE),8492,8677
Araguaçu (TO),4511,4274
Fronteira (MG),7230,6811
Nazaré Paulista (SP),8454,7960
Pocinhos (PB),8489,8539
Venturosa (PE),7860,8192
Cocos (BA),9300,8843
Areia Branca (SE),8491,8361
Garuva (SC),7540,7220
Pirapemas (MA),8661,8710
São José dos Quatro Marcos (MT),9501,9495
São Gabriel (BA),9445,8974
Cafelândia (PR),7343,7317
Cruz Machado (PR),9322,8718
São Benedito do Rio Preto (MA),9038,8756
São João do Soter (MA),8812,8418
Governador Edison Lobão (MA),8152,7741
Picuí (PB),8951,9265
Bacuri (MA),8487,8115
Cariús (CE),9332,9229
Santo Antônio do Amparo (MG),8587,8758
Neópolis (SE),9231,9267
Mendes (RJ),8650,9282
Rio Claro (RJ),8769,8656
Cairu (BA),7841,7533
Ubaitaba (BA),10097,10587
Juquiá (SP),9739,9505
Itirapina (SP),9154,6369
Mirangaba (BA),8175,8099
Colina (SP),8625,8745
São Luís Gonzaga do Maranhão (MA),10160,9991
Cesário Lange (SP),8063,7477
Cafarnaum (BA),8763,8445
Mundo Novo (MS),8260,8782
Taió (SC),8689,8568
Malacacheta (MG),9158,9614
Mairi (BA),9553,9765
Varjota (CE),8703,8884
Carlos Chagas (MG),10003,10054
Pio IX (PI),8819,8849
Boa Vista do Tupim (BA),9133,8856
Mucajaí (RR),7865,6927
Cariré (CE),9140,9201
Batalha (AL),8385,8686
Lagoa do Carro (PE),7852,8152
Juazeirinho (PB),8365,8408
Ibipeba (BA),8755,8244
Mirante do Paranapanema (SP),8662,8393
Inhapi (AL),8809,9085
Solonópole (CE),8837,8824
Querência (MT),6923,6109
Araguaína (TO),73581,76885
Indiaroba (SE),8026,7801
Jucurutu (RN),8865,8817
Correntes (PE),8607,8805
Campo do Brito (SE),8230,8511
Banabuiú (CE),8736,8576
Estrela de Alagoas (AL),8404,8846
Paraibuna (SP),8837,8551
Maraã (AM),9407,8118
Luz (MG),8715,8769
Reriutaba (CE),9680,9770
Ladainha (MG),8392,8599
Sapucaia (RJ),8765,8759
Buerarema (BA),9306,9297
Matelândia (PR),7967,8109
Jussara (GO),9585,9564
Sítio Novo (MA),8942,8060
Tartarugalzinho (AP),6678,5884
Rio Maria (PA),9161,8536
São Caetano de Odivelas (PA),8806,8080
Croatá (CE),8328,8739
Messias (AL),7702,7978
Arroio Grande (RS),9174,9294
Ingá (PB),8836,9336
Cristinápolis (SE),8294,8222
Itacarambi (MG),8840,8873
Lagoa Formosa (MG),8652,8509
Presidente Médici (RO),11307,11009
São Vicente Férrer (PE),8368,8629
Conchas (SP),8191,8096
Jaguaretama (CE),9071,8790
Una (BA),12553,11550
Elias Fausto (SP),8168,7607
Morro da Fumaça (SC),8078,8046
São Francisco de Assis (RS),9492,9759
Ourém (PA),8442,7868
Serafina Corrêa (RS),7099,7153
Manga (MG),9793,10014
São João do Rio do Peixe (PB),8940,9259
Abelardo Luz (SC),8627,8472
Bady Bassitt (SP),7249,7354
Rio Pomba (MG),8509,8599
Regeneração (PI),8589,8964
Presidente Getúlio (SC),7404,7483
Pouso Redondo (SC),7504,7306
Gonçalves Dias (MA),8677,8802
Belterra (PA),8481,7836
Boqueirão (PB),8321,8563
Cafelândia (SP),8174,8431
Jacupiranga (SP),8776,8429
Pontalina (GO),8578,8540
Não-Me-Toque (RS),7855,8081
Cerro Azul (PR),8717,8217
Piaçabuçu (AL),8615,8586
São Paulo do Potengi (RN),7821,8013
Arinos (MG),9169,8502
Aporá (BA),8960,8768
Capistrano (CE),8632,8424
Severínia (SP),8045,7456
Fortuna (MA),7612,7486
Fátima (BA),8948,8702
Curionópolis (PA),9666,8621
Carnaubal (CE),8346,8398
Itariri (SP),7794,7677
Cássia (MG),8800,8610
Belém (PB),8344,8744
Santana do Cariri (CE),8640,8528
Canapi (AL),8662,8585
Lagoa da Canoa (AL),8968,9276
Potirendaba (SP),7852,7596
Piranga (MG),8646,8582
Araguanã (TO),2584,2446
Pedra Branca do Amapari (AP),5865,4906
São Miguel do Tapuio (PI),9218,8915
Bom Sucesso (MG),8551,8691
Seara (SC),8525,8411
Amarante (PI),8316,8816
Cruz do Espírito Santo (PB),8093,8158
Aiuaba (CE),8116,8084
Apicum-Açu (MA),7813,7140
Ourolândia (BA),8362,8063
Terra Roxa (PR),8294,8462
Pedra Preta (MT),8114,7640
Charqueada (SP),7686,7399
Peçanha (MG),8523,8727
Água Branca (PI),7803,8647
Nova Era (MG),8349,9177
Tanque Novo (BA),8124,7997
Anadia (AL),8567,8852
Urucuia (MG),7029,6572
Porto Murtinho (MS),8233,7138
Bacabeira (MA),7508,7414
Conceição do Mato Dentro (MG),9002,8901
Sapeaçu (BA),7974,8598
Flores de Goiás (GO),6657,5409
Buritama (SP),7731,7685
Itaberá (SP),9015,8842
Cipó (BA),7678,8075
Resplendor (MG),8368,8715
Faxinal (PR),8024,8288
Pindorama (SP),7692,7345
Salesópolis (SP),7906,7729
Tapes (RS),8166,8462
Sátiro Dias (BA),9566,9397
Massaranduba (SC),7449,7223
Maruim (SE),8011,8330
Poção de Pedras (MA),9918,9786
Matões do Norte (MA),7241,6552
Jataúba (PE),7859,7957
Terra Boa (PR),7820,7953
São Domingos do Prata (MG),8440,8917
Tijucas do Sul (PR),7545,6987
Central (BA),8688,8323
Monsenhor Tabosa (CE),8294,8408
Macatuba (SP),8152,8106
Serra Dourada (BA),9241,8868
Bom Jesus do Tocantins (PA),8051,7245
Carmópolis (SE),6671,6830
Piquet Carneiro (CE),7789,7676
Adustina (BA),7907,7793
Guajará (AM),7265,6708
Santo Antônio de Leverger (MT),9859,8600
Muniz Freire (ES),9302,9089
Cacimba de Dentro (PB),8217,8528
Corbélia (PR),7973,8338
Marechal Floriano (ES),7259,7002
Itapiranga (SC),7858,7551
Crixás (GO),8253,7506
Xangri-lá (RS),6199,6235
Jenipapo dos Vieiras (MA),7976,7464
Mata Roma (MA),7584,7554
Souto Soares (BA),8052,7844
Condeúba (BA),8265,8622
Sumé (PB),7925,8130
Água Fria (BA),7901,7821
Conceição do Almeida (BA),8697,9175
Araputanga (MT),7582,7758
Itaquitinga (PE),7881,7808
Terra Rica (PR),7607,7610
Ibititá (BA),9057,8779
Nova Ipixuna (PA),7731,6913
Matupá (MT),7357,6817
Belo Campo (BA),8116,7896
Santa Cecília (SC),7849,7907
Bonito (BA),7521,7313
Rosário Oeste (MT),9413,8262
Realeza (PR),8004,8332
Esperantinópolis (MA),9074,9372
Araguatins (TO),15967,15358
Cocal do Sul (SC),7523,7636
Brasilândia de Minas (MG),7384,6841
Tapiramutá (BA),8337,8179
Nova Resende (MG),8106,7268
Capela (AL),8428,8646
Poço Fundo (MG),8212,7746
Cidreira (RS),6245,6422
Guapiara (SP),9152,8844
Tapauá (AM),10075,9002
Pedregulho (SP),7985,7715
Malhada (BA),8284,7727
Carapebus (RJ),6786,6570
Araçagi (PB),8574,8647
Campanha (MG),7760,7673
Piatã (BA),8732,9242
Canudos (BA),7995,7730
Juruena (MT),5808,5393
Ipuã (SP),7210,6936
Tabatinga (SP),7564,7121
Fortim (CE),7456,7356
João Neiva (ES),7810,7996
Bonito (PA),7114,6515
Tocantins (MG),7894,7928
Maranhãozinho (MA),7168,6897
Lima Duarte (MG),8141,8005
Salitre (CE),7769,7683
Pedro Alexandre (BA),8683,8308
Poté (MG),7718,7944
Urandi (BA),8331,8130
Tururu (CE),7472,6932
Bom Lugar (MA),7553,7264
Vitória do Jari (AP),6427,5998
Mangueirinha (PR),8438,8608
Conceição do Lago-Açu (MA),7481,6955
Machados (PE),6551,7045
Caçu (GO),7030,6251
Raposos (MG),7386,7954
Morretes (PR),7949,7767
Nova Canaã (BA),8566,8133
Tapejara (PR),7304,7291
Perdizes (MG),7533,6870
Ibitiara (BA),7693,7810
Sertanópolis (PR),7747,7890
Passa Quatro (MG),7727,7854
Aveiro (PA),8367,7481
Vila Bela da Santíssima Trindade (MT),7563,6927
Bituruna (PR),8150,7730
Fonte Boa (AM),11820,10990
Alvarães (AM),7415,6671
Santa Margarida (MG),7583,7425
Sananduva (RS),7603,7767
Lago Verde (MA),7728,7682
Pereiro (CE),7762,7993
Lagoa dos Gatos (PE),7824,7790
Clevelândia (PR),8439,8796
Agudo (RS),8349,8373
Filadélfia (BA),8436,8299
Pindaí (BA),8016,7609
Corupá (SC),7002,6849
Paulino Neves (MA),7500,7014
Capinópolis (MG),7823,7465
Itaú de Minas (MG),7403,7542
Borborema (SP),7349,7177
Iguatemi (MS),7427,7448
Ibicuí (BA),8062,7715
Guamaré (RN),6223,6180
São Benedito do Sul (PE),7015,6923
Joselândia (MA),7815,7616
Barrocas (BA),7218,6973
Campinápolis (MT),7399,6897
Altinópolis (SP),7806,7797
Santo Amaro do Maranhão (MA),7314,6504
Barra de Santo Antônio (AL),7075,7152
Itaetê (BA),7509,7405
Monte Negro (RO),7407,6683
Itaipava do Grajaú (MA),7388,6909
Getúlio Vargas (RS),7849,8303
Piancó (PB),7387,8076
Palmitos (SC),8018,8002
Coaraci (BA),10268,10682
São Lourenço da Serra (SP),7087,6885
Candói (PR),7550,7430
Quixelô (CE),7549,7449
Fartura (SP),7425,7892
São Pedro do Sul (RS),8049,8316
Cerejeiras (RO),8551,8477
América Dourada (BA),8073,7887
Alto Santo (CE),8216,8139
Mozarlândia (GO),6843,6560
Anapurus (MA),7018,6917
Nova Bandeirantes (MT),6377,5265
Salinas da Margarida (BA),6554,6899
Nova Ponte (MG),6725,6087
Água Clara (MS),7545,6879
Tangará (RN),7157,7012
Urucará (AM),8853,8239
Joaquim Nabuco (PE),7900,7872
Tremedal (BA),8532,8493
Biritinga (BA),7552,7277
Ribeirão Branco (SP),9396,8872
Canutama (AM),6872,5866
São Francisco do Pará (PA),7775,7282
Indiara (GO),7085,6600
Panorama (SP),7312,7270
Grão Mogol (MG),7727,7296
Poxoréu (MT),9256,8338
Rosana (SP),9779,9910
Papagaios (MG),7237,6938
Encruzilhada (BA),12374,11388
Capitão Leônidas Marques (PR),7473,7493
Lagoa Nova (RN),6924,7057
Saloá (PE),7382,7925
Lagoa Real (BA),7197,6728
Itamonte (MG),7086,6917
Orizona (GO),7388,6910
Mário Campos (MG),6641,6551
Nova Olinda (CE),7017,7234
São João do Caru (MA),6339,5970
São João Evangelista (MG),7614,7937
Ipanguaçu (RN),7000,6852
Saboeiro (CE),7761,7984
Guiratinga (MT),7286,6645
Giruá (RS),8338,8735
Acrelândia (AC),6592,5945
Santa Cruz (PE),6810,6782
Sumidouro (RJ),7650,7245
Restinga Sêca (RS),7815,8032
Frei Paulo (SE),6785,7086
Araguanã (MA),7118,6852
Tupi Paulista (SP),7580,6689
Igaporã (BA),7642,7558
Campos Altos (MG),7263,6943
Mantenópolis (ES),6803,6805
Nova Timboteua (PA),7080,6587
Poço Branco (RN),7057,6891
Santa Adélia (SP),7164,7169
Ibateguara (AL),7569,7575
Frei Miguelinho (PE),6992,7286
Luiz Antônio (SP),5832,5454
Barra de Santa Rosa (PB),7082,7071
Holambra (SP),5725,5573
Muqui (ES),7256,7137
Espumoso (RS),7532,7708
Eldorado (SP),7478,7161
Dionísio Cerqueira (SC),7413,7395
Pinhalzinho (SP),6593,6511
Dom Feliciano (RS),7398,6980
Coronel João Sá (BA),8795,8269
Mirandiba (PE),7115,7190
Primeira Cruz (MA),7409,6543
São Félix do Coribe (BA),6535,6511
Cruzília (MG),7245,7345
Felixlândia (MG),7046,7074
Rio do Antônio (BA),7440,7369
Cambuci (RJ),7407,7417
Nova Veneza (SC),6719,6590
Itanhandu (MG),6947,7227
Itapagipe (MG),7122,6531
Taperoá (PB),7345,7586
Buritirana (MA),7536,7245
Juruá (AM),5547,5252
Jurema (PE),7133,7407
Joaíma (MG),7501,7437
Santa Luzia (PB),7138,7580
Entre Rios de Minas (MG),7069,7173
Coronel Sapucaia (MS),6951,7111
São Simão (SP),7059,7283
Novo Triunfo (BA),7531,7517
Coremas (PB),7419,7722
Rio Azul (PR),7340,6753
Vitória do Xingu (PA),7281,6148
Pendências (RN),6691,6737
Bela Vista do Paraíso (PR),7315,7760
Capitão Enéas (MG),7203,7000
Italva (RJ),6853,7209
Lauro Müller (SC),7187,7180
Sabinópolis (MG),7772,7928
Tarumã (SP),6583,6302
São João do Triunfo (PR),7208,6496
Uiraúna (PB),7007,7572
Chapada do Norte (MG),7446,7740
Teixeira (PB),6934,7219
Nobres (MT),7830,7169
Itajobi (SP),7349,7207
Inhuma (PI),7318,7526
Ipiranga (PR),7328,6821
Auriflama (SP),7099,7100
Monte Alegre de Sergipe (SE),6899,6725
Meruoca (CE),6874,6819
Orocó (PE),6571,6607
Natividade (RJ),7445,7632
Serra Azul (SP),6873,4383
Curiúva (PR),7106,6814
Areado (MG),6924,6806
Tamarana (PR),6276,5984
Passo de Camaragibe (AL),7510,7250
Alto Alegre (RR),8676,7772
Glória (BA),7537,7534
Jussara (BA),7811,7239
Triunfo (PE),7178,7822
Primavera (PE),6881,6556
Acajutiba (BA),7206,7444
Colorado do Oeste (RO),9330,9261
Soledade (PB),6770,6966
Miraí (MG),6943,6859
Itaporanga (SP),7279,7269
Presidente Dutra (BA),6991,6756
Barro Alto (BA),6909,6700
Ipaussu (SP),6893,6769
Boa Esperança (ES),7176,7019
Acarape (CE),7570,7766
Alvinópolis (MG),7535,7723
Boa Esperança do Sul (SP),6875,6770
Teolândia (BA),7723,7108
Barroquinha (CE),7321,7154
Mirinzal (MA),7286,6930
Itinga (MG),7347,7053
Jardim de Piranhas (RN),6722,6781
Sobradinho (RS),6992,7291
Carmo de Minas (MG),6895,6855
Nova Trento (SC),6181,6009
Jupi (PE),6683,7020
Rebouças (PR),7201,6975
Ibipitanga (BA),7046,7118
Olinda Nova do Maranhão (MA),6805,6373
Salto do Lontra (PR),6941,6748
Alto Paraná (PR),6841,6819
Patrocínio Paulista (SP),6596,6404
Upanema (RN),6719,6271
Flórida Paulista (SP),7054,5791
Botelhos (MG),7471,7445
Santa Branca (SP),6874,6886
Santa Izabel do Oeste (PR),6625,6503
Alto do Rodrigues (RN),6163,6139
Porteiras (CE),7365,7695
Jatobá (PE),6835,7126
Candeias (MG),7457,7137
Brasil Novo (PA),8314,7376
Pedro Velho (RN),7157,6944
Cidelândia (MA),7011,6670
Jacaraci (BA),6925,6724
Feliz Natal (MT),5579,5353
Nina Rodrigues (MA),6335,6124
Alagoinha (PE),6912,6845
Bom Jesus do Galho (MG),7822,7538
Assaí (PR),8011,8339
Tavares (PB),7034,7066
Xexéu (PE),6995,7096
São Félix (BA),6882,7208
Curuá (PA),6456,5798
Apuiarés (CE),7072,6853
Governador Celso Ramos (SC),6640,6357
Ponto Novo (BA),7923,7817
Governador Eugênio Barros (MA),8059,7929
Tibau do Sul (RN),5758,5626
São Sebastião do Uatumã (AM),5680,5025
Caetanos (BA),7051,6584
Alfredo Chaves (ES),7103,6851
Simões (PI),7078,7101
Pacatuba (SE),6685,6448
Itaguaçu da Bahia (BA),6958,6249
Santa Filomena (PE),6757,6611
Balneário Pinhal (RS),5343,5510
Palmeirais (PI),6780,6962
Barra de Guabiraba (PE),6514,6261
Ribeira do Amparo (BA),7233,7042
Alagoinha (PB),6704,6871
Matias Barbosa (MG),6692,6742
Montalvânia (MG),7995,7861
Bicas (MG),6556,7095
Santa Maria do Suaçuí (MG),7152,7239
Cândido de Abreu (PR),8543,8110
Caldas (MG),6951,6679
Itatim (BA),7252,7266
Retirolândia (BA),6025,6030
Jiquiriçá (BA),7149,6960
Paranhos (MS),6260,6088
Maurilândia (GO),6022,5499
Alterosa (MG),6981,6736
Quatis (RJ),6238,6555
Mucambo (CE),6699,7403
Elesbão Veloso (PI),7148,7362
Serra Preta (BA),7585,7811
Ilhota (SC),6227,6128
Campestre do Maranhão (MA),6819,6549
Arez (RN),6408,6510
Boninal (BA),6700,6993
Santo Antônio dos Lopes (MA),7189,7098
Santa Juliana (MG),5831,5506
Ibirataia (BA),9435,9496
Igarapé do Meio (MA),6348,6200
Jacaraú (PB),6917,7023
Poço das Trincheiras (AL),7002,6870
Bom Princípio (RS),6029,5760
São João d'Aliança (GO),5272,4982
Andorinha (BA),7323,7084
Graça (CE),7438,7609
Candiba (BA),6814,6394
Taguaí (SP),5385,5442
Marmeleiro (PR),6909,6987
Joaquim Pires (PI),7154,6663
Casinhas (PE),6797,6964
Campo Novo de Rondônia (RO),6768,5897
Carlópolis (PR),6925,6780
Tapurah (MT),6058,4333
Peri Mirim (MA),6988,6813
Alto Longá (PI),6958,6688
Brazópolis (MG),7433,7227
Astolfo Dutra (MG),6552,6496
São Pedro do Piauí (PI),6821,6816
Iracema (CE),6761,6956
Itagibá (BA),7803,7385
Pacaembu (SP),7744,5481
Rio Piracicaba (MG),6914,7234
Quatá (SP),6393,6405
Santa Maria do Cambucá (PE),6472,6544
Itapuí (SP),6150,6022
Anamã (AM),5446,4768
Brejo do Cruz (PB),6509,6612
Tarumirim (MG),7101,7185
Satubinha (MA),6170,5820
Guapé (MG),7280,6590
Cerro Largo (RS),6617,6671
Ipecaetá (BA),7584,7740
Chapada Gaúcha (MG),5636,5169
Iaciara (GO),6379,6046
Paraíso do Norte (PR),5850,5920
Guapó (GO),6970,7005
Santa Luzia do Itanhi (SE),6653,6313
Arroio dos Ratos (RS),6635,6970
Frecheirinha (CE),6378,6613
Santo Cristo (RS),7190,7188
Siderópolis (SC),6480,6518
Nilo Peçanha (BA),6463,6065
Brejões (BA),7114,7161
Engenheiro Paulo de Frontin (RJ),6449,6787
Várzea da Roça (BA),6984,6799
Ibiraci (MG),6364,5812
Gurinhém (PB),6918,6951
Coribe (BA),7199,7106
São João do Araguaia (PA),7148,6006
Vianópolis (GO),6295,6250
Iconha (ES),6409,6112
Massaranduba (PB),6244,6654
Cabo Verde (MG),7452,6371
Maracaí (SP),6661,6669
Vila Valério (ES),7207,6621
Avanhandava (SP),6247,5060
Ivaí (PR),6684,6130
Cumaru do Norte (PA),6081,4385
Satuba (AL),7105,7493
Ielmo Marinho (RN),6275,5893
Araruna (PR),6824,6594
Maria da Fé (MG),7202,7013
Peabiru (PR),6731,6892
Arapoema (TO),3447,3293
Uruoca (CE),6498,6385
Itaguaçu (ES),7196,6935
Senador La Rocque (MA),9060,8935
Cristópolis (BA),6868,6411
Baianópolis (BA),7162,6687
Miraíma (CE),6605,6192
Urupês (SP),6321,6392
Arraias (TO),5393,5251
Engenheiro Beltrão (PR),6925,6979
Morungaba (SP),5895,5873
Montividiu (GO),5499,5072
Santa Brígida (BA),7713,7341
Angical (BA),7459,6613
Uibaí (BA),6967,6656
Senador Rui Palmeira (AL),6405,6641
Piratininga (SP),5985,6085
Campina da Lagoa (PR),7647,7747
São Ludgero (SC),5625,5368
Centro do Guilherme (MA),6640,5924
Demerval Lobão (PI),6476,6800
Jaguapitã (PR),6109,6115
Tracunhaém (PE),6363,6691
Uarini (AM),6331,5558
Mansidão (BA),6585,6006
Santo Augusto (RS),6810,7156
São José do Cedro (SC),6891,6792
Alvorada d'Oeste (RO),8677,8174
Serra Branca (PB),6333,6635
Puxinanã (PB),6356,6566
Vila Nova dos Martírios (MA),5938,5320
Uruana (GO),7005,6819
Quatipuru (PA),6461,5948
Nioaque (MS),7545,6844
Queluz (SP),5757,5552
Balneário Arroio do Silva (SC),4743,4842
Cotegipe (BA),7113,6521
Valentim Gentil (SP),5548,5487
Conceição do Rio Verde (MG),6517,6428
Virgem da Lapa (MG),6761,6856
Feliz (RS),6161,6198
Itiquira (MT),6224,5250
Santana do Maranhão (MA),6028,5633
Mallet (PR),6699,6273
Palmares Paulista (SP),5859,5073
Camapuã (MS),7066,6558
Irupi (ES),6029,5693
Passa e Fica (RN),5508,5589
General Carneiro (PR),6897,6770
Águas Vermelhas (MG),6526,6192
Mirabela (MG),6627,6409
Iporã (PR),7393,7585
Chã de Alegria (PE),6095,6307
Mascote (BA),7547,7088
Barra do Ribeiro (RS),6253,6319
Arara (PB),6074,6577
Choró (CE),6585,6266
Firminópolis (GO),5700,5876
Amajari (RR),4991,4335
Palmácia (CE),6002,6003
Augustinópolis (TO),8004,7945
Pé de Serra (BA),6815,6928
Tomar do Geru (SE),6535,6318
Alexandria (RN),6614,6889
Manoel Ribas (PR),6527,6641
Itaguara (MG),6266,6105
Martinho Campos (MG),6373,6236
Piquete (SP),6816,7290
Itapetim (PE),6850,7029
Serrolândia (BA),6037,6304
Paripueira (AL),5590,5756
Caapiranga (AM),5812,5162
Jutaí (AM),9432,8560
Joanópolis (SP),5926,5840
Caldeirão Grande (BA),6150,6338
Arroio do Tigre (RS),6383,6264
Imbaú (PR),5747,5525
Abre Campo (MG),6669,6642
Japoatã (SE),6482,6454
Ibaretama (CE),6667,6255
Planalto (PR),6847,6803
Tenente Portela (RS),6713,7005
Rio Casca (MG),6847,7352
Ribeirão Bonito (SP),6103,6030
Dores do Indaiá (MG),6715,7057
Luiz Alves (SC),5380,5054
Lucena (PB),5831,5895
Cantagalo (PR),6562,6389
Água Boa (MG),7741,7452
Bocaiúva do Sul (PR),5552,5435
São Domingos (GO),5927,5342
Lagoa do Ouro (PE),5970,6161
Palestina (SP),5594,5454
Crissiumal (RS),6913,7170
Alto Alegre dos Parecis (RO),6739,6077
Banzaê (BA),5993,5819
Rio Bonito do Iguaçu (PR),7057,6602
Mogeiro (PB),6077,6412
Balsa Nova (PR),5720,5577
São João das Missões (MG),6048,5667
Buenos Aires (PE),6196,6339
Nordestina (BA),6407,5964
