city,male,female
Umuarama (PR),48784,51881
Catalão (GO),43532,43101
Corumbá (MS),52282,51413
Santa Cruz do Capibaribe (PE),42371,45202
Tailândia (PA),40989,38304
Ariquemes (RO),45539,44808
Coronel Fabriciano (MG),50031,53651
Muriaé (MG),48754,51998
Patos (PB),47802,52866
Araxá (MG),46263,47404
Nova Serrana (MG),38067,35631
Cambé (PR),47295,49431
Tangará da Serra (MT),41988,41438
São Pedro da Aldeia (RJ),43431,44436
Erechim (RS),46223,49860
Tubarão (SC),47114,50119
Itumbiara (GO),45792,47086
Japeri (RJ),48078,47403
Lagarto (SE),46481,48363
Ituiutaba (MG),47856,49298
Assis (SP),46314,48823
Lavras (MG),44720,47472
Leme (SP),46029,45724
Bacabal (MA),47755,52247
Aracruz (ES),40791,41028
São Gonçalo do Amarante (RN),43174,44476
Vilhena (RO),37782,38420
Itaperuna (RJ),46547,49274
Itanhaém (SP),42191,44862
Breves (PA),47782,45060
Itacoatiara (AM),44422,42397
Caieiras (SP),42298,44229
Fazenda Rio Grande (PR),40571,41098
Mairiporã (SP),40974,39977
Iguatu (CE),46421,50067
Jataí (GO),43953,44036
Santo Antônio de Jesus (BA),42953,47995
Itaituba (PA),49680,47808
Barra do Piraí (RJ),45153,49614
Abreu e Lima (PE),45118,49291
Manacapuru (AM),43450,41668
Ipojuca (PE),39888,40744
Sarandi (PR),40829,42016
Guaíba (RS),46151,49044
Valença (BA),43516,45116
Itajubá (MG),44489,46164
Bayeux (PB),47731,51972
Nova Lima (MG),39149,41841
Balsas (MA),41574,41949
Itabaiana (SE),42491,44464
Votuporanga (SP),41313,43372
Campo Mourão (PR),42010,45175
Caçapava (SP),41994,42752
Pará de Minas (MG),41637,42571
Cáceres (MT),44094,43840
Ponta Porã (MS),38488,39370
Itapeva (SP),43242,44506
Caldas Novas (GO),35020,35446
Sorriso (MT),34266,32251
Paracatu (MG),42469,42241
Itaúna (MG),42099,43359
Mogi Mirim (SP),42596,43908
Francisco Beltrão (PR),38956,39980
Caratinga (MG),41666,43555
São Roque (SP),38759,40055
Ubatuba (SP),39173,39623
Luís Eduardo Magalhães (BA),31056,29049
Arujá (SP),36939,37965
São João da Boa Vista (SP),40546,43091
Patrocínio (MG),41935,40530
São Cristóvão (SE),38395,40453
Manhuaçu (MG),39187,40376
Saquarema (RJ),36853,37372
Avaré (SP),41133,41797
São Sebastião (SP),36883,37046
Planaltina (GO),40574,41071
Timóteo (MG),39193,42044
São João del-Rei (MG),40548,43914
Santa Inês (MA),36880,40383
Cruzeiro do Sul (AC),39215,39273
Lorena (SP),39857,42678
Paranavaí (PR),39279,42304
Quixadá (CE),39762,40827
Barra do Corda (MA),41649,41169
Aliança do Tocantins (TO),2907,2764
Candeias (BA),40311,42829
Serra Talhada (PE),37819,41401
Camboriú (SC),31158,31200
Coari (AM),39476,36483
Cacoal (RO),39124,39450
Campo Limpo Paulista (SP),36392,37679
Redenção (PA),38011,37539
São Bento do Sul (SC),37238,37560
Lajeado (RS),34731,36710
Navegantes (SC),30158,30398
Pacatuba (CE),35597,36691
Unaí (MG),39303,38257
Guanambi (BA),38471,40337
Gravatá (PE),36901,39547
Araripina (PE),37834,39458
Carpina (PE),35560,39289
Cianorte (PR),34040,35915
Pato Branco (PR),34984,37380
Moju (PA),36664,33350
Pinheiro (MA),38075,40072
Matão (SP),38032,38751
Ijuí (RS),38111,40792
Seropédica (RJ),38432,39750
Dias d'Ávila (BA),32813,33616
Esteio (RS),38972,41773
Cruzeiro (SP),37504,39531
Macaíba (RN),34430,35021
Três Rios (RJ),37010,40412
Quixeramobim (CE),35725,36145
Serrinha (BA),37676,39074
Aquiraz (CE),37127,35494
Cachoeira do Sul (RS),40376,43441
Vinhedo (SP),31481,32126
Curvelo (MG),36138,38069
Alfenas (MG),36081,37688
João Monlevade (MG),35048,38559
Jacobina (BA),38322,40911
Viana (ES),33187,31806
Chapadinha (MA),36232,37079
Telêmaco Borba (PR),34382,35482
Três Corações (MG),36103,36659
Sapiranga (RS),36988,37995
Goiana (PE),36640,38986
Ibiúna (SP),36213,34996
Caçador (SC),35038,35721
Viçosa (MG),34996,37213
Senhor do Bonfim (BA),36014,38385
Russas (CE),34401,35421
Cajamar (SP),31995,32112
Lins (SP),34681,36743
Picos (PI),35055,38347
Novo Repartimento (PA),32746,29302
Jaboticabal (SP),34794,36864
Bebedouro (SP),36528,38500
Santo Ângelo (RS),36581,39683
Canindé (CE),36901,37550
Itapetinga (BA),33441,34809
Pirassununga (SP),34296,35779
Valença (RJ),34448,37381
Tianguá (CE),34170,34711
Belo Jardim (PE),34775,37641
Santo Antônio do Descoberto (GO),31364,31875
Santana do Araguaia (PA),29786,26364
Cataguases (MG),34212,35535
Itapira (SP),33943,34585
Concórdia (SC),33769,34847
Rio Largo (AL),33298,35168
Sant'Ana do Livramento (RS),39375,43072
Aracati (CE),34144,35003
Arcoverde (PE),32367,36418
Crateús (CE),35502,37286
Oriximiná (PA),31756,31035
Ouro Preto (MG),34276,35996
Cosmópolis (SP),29410,29416
Cidade Ocidental (GO),27427,28481
Ceará-Mirim (RN),33745,34384
Pacajus (CE),30366,31464
Irecê (BA),32012,34152
Santa Rosa (RS),33483,35096
Farroupilha (RS),31303,32328
Buriticupu (MA),33315,31920
Palmeira dos Índios (AL),33576,36778
Amparo (SP),32440,33384
Santa Luzia (MA),37698,36341
Casa Nova (BA),33086,31842
Rio do Sul (SC),29977,31220
Santa Izabel do Pará (PA),31154,28305
Cascavel (CE),32884,33247
Esmeraldas (MG),30267,29996
Alegrete (RS),38047,39595
Janaúba (MG),32791,33998
Venâncio Aires (RS),32642,33299
Indaial (SC),27431,27423
Castro (PR),33390,33688
Goianésia (GO),30070,29470
Gaspar (SC),28678,29303
São Sebastião do Paraíso (MG),32181,32788
Campo Formoso (BA),33457,33150
Grajaú (MA),31696,30393
Biguaçu (SC),28661,29538
Ouricuri (PE),31698,32656
Embu-Guaçu (SP),31186,31579
Bom Jesus da Lapa (BA),31675,31798
Sousa (PB),31793,34003
Campo Bom (RS),29471,30601
Estância (SE),31359,33033
Capanema (PA),31492,32136
Cabedelo (PB),27628,30301
Escada (PE),31148,32354
Peruíbe (SP),29137,30631
Horizonte (CE),27528,27652
Fernandópolis (SP),31517,33174
Lucas do Rio Verde (MT),24016,21540
Lençóis Paulista (SP),30497,30928
Araranguá (SC),30138,31171
Mineiros (GO),27137,25791
Itapema (SC),22391,23404
Itapecuru-Mirim (MA),31021,31074
Mococa (SP),33056,33229
Caicó (RN),30373,32333
Breu Branco (PA),27083,25407
Tabatinga (AM),26358,25909
Icó (CE),31879,33570
Rolândia (PR),28455,29398
Pesqueira (PE),30615,32309
Januária (MG),32336,33108
Formiga (MG),32135,32985
Brumado (BA),31742,32838
Conceição do Coité (BA),30702,31326
Ipixuna do Pará (PA),26903,24403
Vacaria (RS),30081,31251
Lagoa Santa (MG),25735,26781
Camaquã (RS),30898,31859
Surubim (PE),27991,30505
Maués (AM),27279,24949
Montenegro (RS),29244,30167
Bertioga (SP),23828,23816
União dos Palmares (AL),30166,32176
Coroatá (MA),30658,31053
Tupã (SP),30731,32732
Pedro Leopoldo (MG),28745,29989
Itaberaba (BA),29926,31681
Benevides (PA),25812,25830
Tomé-Açu (PA),29319,27191
Itamaraju (BA),31452,31599
Itupeva (SP),22792,22066
Camocim (CE),29766,30381
Penápolis (SP),28566,29936
Penedo (AL),29304,31063
Cruz das Almas (BA),27680,30898
Barreirinhas (MA),28130,26796
Primavera do Leste (MT),26485,25579
Portel (PA),26816,25349
Piripiri (PI),30136,31690
Moreno (PE),27659,29015
Palmares (PE),28801,30712
Acaraú (CE),29099,28445
Batatais (SP),27743,28730
Igarapé-Miri (PA),29670,28391
Boituva (SP),24313,24001
Cajazeiras (PB),27935,30503
Carazinho (RS),28278,31030
São Miguel dos Campos (AL),26558,28008
Ulianópolis (PA),22208,21132
Guapimirim (RJ),25279,26198
São Gabriel (RS),29423,30985
Viseu (PA),29817,26897
Viçosa do Ceará (CE),27661,27286
